"Timestamp","Message"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/prepopulate_init.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/SelectBox.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/SelectFilter2.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/theme.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/unusable_password_field.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/urlify.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/admin/DateTimeShortcuts.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/admin/RelatedObjectLookups.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/jquery/jquery.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/jquery/jquery.min.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/jquery/LICENSE.txt'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/LICENSE.md'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/select2.full.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/select2.full.min.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/af.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ar.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/az.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/bg.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/bn.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/bs.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ca.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/cs.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/da.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/de.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/dsb.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/el.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/en.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/es.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/et.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/eu.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/fa.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/fi.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/fr.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/gl.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/he.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/hi.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/hr.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/hsb.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/hu.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/hy.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/id.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/is.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/it.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ja.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ka.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/km.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ko.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/lt.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/lv.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/mk.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ms.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/nb.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ne.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/nl.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/pl.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ps.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/pt-BR.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/pt.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ro.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/ru.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/sk.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/sl.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/sq.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/sr-Cyrl.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/sr.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/sv.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/th.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/tk.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/tr.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/uk.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/vi.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/zh-CN.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/select2/i18n/zh-TW.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/xregexp/LICENSE.txt'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/xregexp/xregexp.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'admin/js/vendor/xregexp/xregexp.min.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'css/style.css'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'django_extensions/css/jquery.autocomplete.css'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'django_extensions/img/indicator.gif'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'django_extensions/js/jquery.ajaxQueue.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'django_extensions/js/jquery.autocomplete.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'django_extensions/js/jquery.bgiframe.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/brasao-1024x937.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/brasao.gif'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/bras├úo 2.jpg'"
